,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1452537,FDMAT108-14,7/6/2016 5:24:00 PM,Wait List,,,
1470146,FDMAT108-14,7/8/2016 10:48:00 PM,Wait List,,,
1470146,FDMAT108-14,7/9/2016 12:04:00 AM,Dropped,Waitlist Student Dropped,,
1452537,FDMAT108-14,7/12/2016 12:08:00 PM,Dropped,Waitlist Student Dropped,,
1421457,FDMAT108-14,7/15/2016 3:19:00 PM,Wait List,,,
1510126,FDMAT108-14,7/21/2016 5:12:00 PM,Wait List,,,
1495704,FDMAT108-14,7/27/2016 8:22:00 PM,Wait List,,,
1382266,FDMAT108-14,8/1/2016 9:14:00 PM,Dropped,Waitlist Student Dropped,,
1491692,FDMAT108-14,8/2/2016 6:49:00 PM,Dropped,,,
1488485,FDMAT108-14,8/2/2016 7:06:00 PM,Dropped,,,
1488485,FDMAT108-14,8/2/2016 7:06:00 PM,Registered,Waitlist Registered,,
1507114,FDMAT108-14,8/2/2016 9:10:00 PM,Wait List,,,
1382348,FDMAT108-14,8/4/2016 2:19:00 PM,Wait List,,,
1505648,FDMAT108-14,8/9/2016 10:56:00 AM,Dropped,Waitlist Student Dropped,,
1485326,FDMAT108-14,8/9/2016 1:30:00 PM,Dropped,,,
1428491,FDMAT108-14,8/9/2016 1:37:00 PM,Dropped,,,
1428491,FDMAT108-14,8/9/2016 1:37:00 PM,Registered,Waitlist Registered,,
1507114,FDMAT108-14,8/9/2016 4:50:00 PM,Dropped,Waitlist System Dropped,,
1483552,FDMAT108-14,8/9/2016 11:35:00 PM,Dropped,,,
1427933,FDMAT108-14,8/10/2016 9:18:00 AM,Wait List,,,
1484536,FDMAT108-14,8/10/2016 2:22:00 PM,Dropped,,,
1490976,FDMAT108-14,8/10/2016 2:49:00 PM,Wait List,,,
1490976,FDMAT108-14,8/10/2016 2:51:00 PM,Dropped,Waitlist Student Dropped,,
1449236,FDMAT108-14,8/11/2016 12:05:00 AM,Dropped,Waitlist System Dropped,,
1278013,FDMAT108-14,8/11/2016 2:50:00 PM,Dropped,Waitlist System Dropped,,
1491573,FDMAT108-14,8/11/2016 3:23:00 PM,Dropped,,,
1491573,FDMAT108-14,8/11/2016 3:23:00 PM,Registered,Waitlist Registered,,
1278013,FDMAT108-14,8/11/2016 6:32:00 PM,Wait List,,,
1495651,FDMAT108-14,8/12/2016 12:20:00 AM,Dropped,Waitlist System Dropped,,
1390522,FDMAT108-14,8/13/2016 12:35:00 AM,Dropped,Waitlist System Dropped,,
1430784,FDMAT108-14,8/13/2016 10:53:00 AM,Dropped,,,
1430784,FDMAT108-14,8/13/2016 10:53:00 AM,Registered,Waitlist Registered,,
1447716,FDMAT108-14,8/13/2016 6:01:00 PM,Wait List,,,
1501782,FDMAT108-14,8/17/2016 2:04:00 PM,Wait List,,,
1490442,FDMAT108-14,8/18/2016 8:51:00 PM,Wait List,,,
1499316,FDMAT108-14,8/19/2016 11:26:00 AM,Wait List,,,
1382348,FDMAT108-14,8/21/2016 5:36:00 PM,Dropped,Waitlist Student Dropped,,
1487969,FDMAT108-14,8/22/2016 1:55:00 PM,Wait List,,,
1489564,FDMAT108-14,8/22/2016 3:39:00 PM,Dropped,,,
1421457,FDMAT108-14,8/22/2016 4:22:00 PM,Dropped,,,
1421457,FDMAT108-14,8/22/2016 4:22:00 PM,Registered,Waitlist Registered,,
1505648,FDMAT108-14,8/27/2016 10:33:00 AM,Wait List,,,
1499316,FDMAT108-14,8/28/2016 10:35:00 AM,Dropped,Waitlist System Dropped,,
1478749,FDMAT108-14,8/28/2016 7:14:00 PM,Wait List,,,
1447716,FDMAT108-14,9/2/2016 8:02:00 PM,Dropped,Waitlist Student Dropped,,
1348599,FDMAT108-14,9/5/2016 11:33:00 PM,Wait List,,,
1348599,FDMAT108-14,9/5/2016 11:34:00 PM,Dropped,Waitlist Student Dropped,,
1483031,FDMAT108-14,9/6/2016 5:13:00 PM,Dropped,,,
1510126,FDMAT108-14,9/7/2016 9:31:00 AM,Dropped,,,
1510126,FDMAT108-14,9/7/2016 9:31:00 AM,Registered,Waitlist Registered,,
1283767,FDMAT108-14,9/8/2016 2:30:00 PM,Wait List,,,
1484599,FDMAT108-14,9/9/2016 11:14:00 AM,Wait List,,,
1484599,FDMAT108-14,9/9/2016 11:45:00 PM,Dropped,Waitlist Student Dropped,,
1444006,FDMAT108-14,9/11/2016 5:42:00 PM,Wait List,,,
1478749,FDMAT108-14,9/12/2016 2:33:00 PM,Dropped,Waitlist Student Dropped,,
1444006,FDMAT108-14,9/14/2016 1:49:00 PM,Dropped,Waitlist Student Dropped,,
1505648,FDMAT108-14,9/14/2016 2:20:00 PM,Dropped,Waitlist Student Dropped,,
1427933,FDMAT108-14,9/14/2016 8:32:00 PM,Dropped,Waitlist Student Dropped,,
