name,type,time,amount
SplashandDash,Services,2016-06-17T18:52:00Z,10
SplashandDash,Services,2016-06-17T20:44:00Z,20
SplashandDash,Services,2016-06-17T20:47:00Z,20
SplashandDash,Services,2016-06-17T20:49:00Z,30
SplashandDash,Services,2016-06-17T22:03:00Z,20
SplashandDash,Services,2016-06-17T22:38:00Z,-1.7
SplashandDash,Services,2016-06-17T14:40:00Z,-15.57
SplashandDash,Services,2016-06-18T19:06:00Z,15
SplashandDash,Services,2016-06-18T17:32:00Z,15
SplashandDash,Services,2016-06-18T17:40:00Z,35
SplashandDash,Services,2016-06-18T18:09:00Z,30
SplashandDash,Services,2016-06-02T19:38:00Z,45
SplashandDash,Services,2016-06-02T19:55:00Z,20
SplashandDash,Services,2016-06-02T17:05:00Z,-17.26
SplashandDash,Services,2016-06-02T17:16:00Z,38
SplashandDash,Services,2016-06-02T17:40:00Z,50
SplashandDash,Services,2016-06-02T17:51:00Z,40
SplashandDash,Services,2016-06-02T20:38:00Z,10
SplashandDash,Services,2016-06-02T20:40:00Z,20
SplashandDash,Services,2016-06-02T21:24:00Z,30
SplashandDash,Services,2016-06-02T22:32:00Z,30
SplashandDash,Services,2016-06-20T19:09:00Z,30
SplashandDash,Services,2016-06-20T19:13:00Z,10
SplashandDash,Services,2016-06-20T17:59:00Z,20
SplashandDash,Services,2016-06-20T18:47:00Z,20
SplashandDash,Services,2016-06-20T20:16:00Z,20
SplashandDash,Services,2016-06-20T20:44:00Z,24
SplashandDash,Services,2016-06-20T21:17:00Z,10
SplashandDash,Services,2016-06-20T21:46:00Z,15
SplashandDash,Services,2016-06-20T22:32:00Z,20
SplashandDash,Services,2016-06-20T22:56:00Z,-14.66
SplashandDash,Services,2016-06-20T22:58:00Z,-5.38
SplashandDash,Services,2016-06-21T19:16:00Z,17
SplashandDash,Services,2016-06-21T16:54:00Z,15
SplashandDash,Services,2016-06-21T16:54:00Z,5
SplashandDash,Services,2016-06-21T16:58:00Z,20
SplashandDash,Services,2016-06-21T17:14:00Z,30
SplashandDash,Services,2016-06-21T17:26:00Z,25
SplashandDash,Services,2016-06-21T17:40:00Z,50
SplashandDash,Services,2016-06-21T17:56:00Z,25
SplashandDash,Services,2016-06-21T21:05:00Z,-9.57
SplashandDash,Services,2016-06-21T22:10:00Z,47
SplashandDash,Services,2016-06-21T22:13:00Z,40
SplashandDash,Services,2016-06-21T22:37:00Z,-47
SplashandDash,Services,2016-06-22T19:11:00Z,20
SplashandDash,Services,2016-06-22T18:11:00Z,21
SplashandDash,Services,2016-06-22T18:50:00Z,35
SplashandDash,Services,2016-06-22T18:58:00Z,70
SplashandDash,Services,2016-06-22T21:29:00Z,100
SplashandDash,Services,2016-06-22T21:52:00Z,-11.89
SplashandDash,Services,2016-06-22T21:53:00Z,20
SplashandDash,Services,2016-06-22T21:59:00Z,-0.96
SplashandDash,Services,2016-06-22T23:15:00Z,60
SplashandDash,Services,2016-06-23T19:01:00Z,28
SplashandDash,Services,2016-06-23T19:50:00Z,70
SplashandDash,Services,2016-06-23T17:36:00Z,45
SplashandDash,Services,2016-06-23T17:38:00Z,20
SplashandDash,Services,2016-06-23T18:02:00Z,37
SplashandDash,Services,2016-06-23T18:19:00Z,20
SplashandDash,Services,2016-06-23T18:22:00Z,50
SplashandDash,Services,2016-06-23T18:28:00Z,15
SplashandDash,Services,2016-06-23T18:30:00Z,50
